Energy (eV),Shell,Element Number,Element Name
93.35000,Ka1,90,Th
94.66500,Ka2,92,U
94.87000,KB1,86,Rn
95.86800,Ka1,91,Pa
97.47000,KB1,87,Fr
98.43900,Ka1,92,U
100.13000,KB1,88,Ra
102.85000,KB1,89,Ac
105.60900,KB1,90,Th
108.42700,KB1,91,Pa
111.30000,KB1,92,U
